127.0.0.1 - - [23/Apr/2023:14:45:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:45:56 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 11957
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:45:56 +0530] "GET /Hospital_Management_System/img/swastik.png HTTP/1.1" 200 9210
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:45:56 +0530] "GET /Hospital_Management_System/img/doc1.jpg HTTP/1.1" 200 2023433
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:45:56 +0530] "GET /Hospital_Management_System/img/h19.jpg HTTP/1.1" 200 1683350
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:45:56 +0530] "GET /Hospital_Management_System/img/h2.jpg HTTP/1.1" 200 1612055
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:45:57 +0530] "GET /Hospital_Management_System/img/h5.jpg HTTP/1.1" 200 14692973
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:45:57 +0530] "GET /Hospital_Management_System/img/h11.jpg HTTP/1.1" 200 396801
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:45:57 +0530] "GET /Hospital_Management_System/img/h21.jpg HTTP/1.1" 200 333187
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:45:57 +0530] "GET /Hospital_Management_System/img/h18.jpg HTTP/1.1" 200 1149192
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:45:57 +0530] "GET /Hospital_Management_System/img/doc6.jpg HTTP/1.1" 200 845763
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:45:57 +0530] "GET /Hospital_Management_System/img/doc9.jpg HTTP/1.1" 200 857877
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:45:57 +0530] "GET /Hospital_Management_System/img/doc5.jpg HTTP/1.1" 200 1515244
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:45:57 +0530] "GET /Hospital_Management_System/img/doc11.jpg HTTP/1.1" 200 1405871
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:45:57 +0530] "GET /Hospital_Management_System/img/doc12.jpg HTTP/1.1" 200 1405858
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:45:57 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:46:04 +0530] "GET /Hospital_Management_System/doctor_login.jsp HTTP/1.1" 200 7226
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:46:04 +0530] "GET /Hospital_Management_System/img/h10.jpg HTTP/1.1" 200 177231
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:47:33 +0530] "POST /Hospital_Management_System/doctorLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:47:33 +0530] "GET /Hospital_Management_System/doctor/index.jsp HTTP/1.1" 200 4138
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:47:33 +0530] "GET /Hospital_Management_System/img/h17.jpg HTTP/1.1" 200 2120417
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:47:37 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 5949
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:50:45 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:50:45 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:50:45 +0530] "GET /Hospital_Management_System/doctor_login.jsp HTTP/1.1" 200 7226
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:51:15 +0530] "POST /Hospital_Management_System/doctorLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:51:15 +0530] "GET /Hospital_Management_System/doctor/index.jsp HTTP/1.1" 200 4138
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:51:17 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:51:19 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=3 HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:51:19 +0530] "GET /Hospital_Management_System/img/h20.jpg HTTP/1.1" 200 693641
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:51:24 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=5 HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:51:28 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=6 HTTP/1.1" 200 5150
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:51:36 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=3 HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:51:58 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:51:58 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6070
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:52:01 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=3 HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:52:05 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:52:05 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6070
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:52:07 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=5 HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:52:10 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:52:10 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6077
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:52:20 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=5 HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:52:28 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:52:28 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6077
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:52:33 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=3 HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:52:38 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:52:38 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6078
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:52:39 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=3 HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:52:53 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:52:53 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6079
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:53:01 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=5 HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:54:28 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=5 HTTP/1.1" 200 5209
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:54:29 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=5 HTTP/1.1" 200 5209
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:54:30 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=5 HTTP/1.1" 200 5209
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:54:30 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=5 HTTP/1.1" 200 5209
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:54:30 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=5 HTTP/1.1" 200 5209
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:54:35 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:54:35 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6086
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:54:37 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=5 HTTP/1.1" 200 5209
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:54:40 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:54:40 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6086
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:55:22 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=3 HTTP/1.1" 200 5217
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:55:27 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:14:55:27 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6066
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:00:46 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=5 HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:00:49 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:00:49 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6073
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:05:29 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=3 HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:05:59 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:06:04 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=6 HTTP/1.1" 200 5150
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:22:44 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=6 HTTP/1.1" 200 5150
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:22:49 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:22:49 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:22:49 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:22:50 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:22:50 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:22:51 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=3 HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:22:55 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:22:55 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:23:05 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=5 HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:23:09 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:23:09 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6109
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:23:12 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=6 HTTP/1.1" 200 5150
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:23:15 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:23:15 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6109
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:23:23 +0530] "GET /Hospital_Management_System/doctorLogout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:23:23 +0530] "GET /Hospital_Management_System/doctor_login.jsp HTTP/1.1" 200 7317
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:23:26 +0530] "GET /Hospital_Management_System/user_login.jsp HTTP/1.1" 200 7348
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:23:26 +0530] "GET /Hospital_Management_System/img/h3.jpg HTTP/1.1" 200 876854
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:23:45 +0530] "POST /Hospital_Management_System/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:23:45 +0530] "GET /Hospital_Management_System/user_login.jsp HTTP/1.1" 200 7434
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:24:21 +0530] "POST /Hospital_Management_System/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:24:21 +0530] "GET /Hospital_Management_System/user_appointment.jsp HTTP/1.1" 200 10311
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:24:21 +0530] "GET /Hospital_Management_System/img/doc7.jpg HTTP/1.1" 200 58712
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:25:32 +0530] "POST /Hospital_Management_System/addAppointment HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:25:32 +0530] "GET /Hospital_Management_System/user_appointment.jsp HTTP/1.1" 200 10417
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:25:38 +0530] "GET /Hospital_Management_System/view_appointment.jsp HTTP/1.1" 200 9682
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:25:38 +0530] "GET /Hospital_Management_System/img/h14.jpg HTTP/1.1" 200 203213
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:25:46 +0530] "GET /Hospital_Management_System/userLogout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:25:46 +0530] "GET /Hospital_Management_System/user_login.jsp HTTP/1.1" 200 7434
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:25:52 +0530] "GET /Hospital_Management_System/doctor_login.jsp HTTP/1.1" 200 7226
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:26:11 +0530] "POST /Hospital_Management_System/doctorLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:26:11 +0530] "GET /Hospital_Management_System/doctor/index.jsp HTTP/1.1" 200 4138
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:26:16 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6499
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:26:44 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=8 HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:26:48 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:26:48 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6600
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:26:52 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=6 HTTP/1.1" 200 5150
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:26:55 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:26:55 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6607
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:26:58 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=5 HTTP/1.1" 200 5152
